id_user,product_id,rating
3,3,2
3,4,4
3,5,4
1,2,4
1,3,5
1,4,5
1,6,4
1,23,3
1,30,1
1,40,1
1,43,2
2,17,5
2,18,5
2,19,5
2,21,4
2,22,5
2,23,4
2,24,3
2,29,1
2,39,2
2,43,1
2,45,5
2,47,4
3,6,5
3,7,5
3,8,4
3,40,2
4,2,3
4,5,5
4,6,1
4,8,1
4,14,5
5,1,5
5,2,5
5,4,4
5,5,2
5,6,1
5,8,2
5,22,4
5,24,4
5,34,5
5,39,4
5,41,2
5,43,3
5,47,1
7,6,2
7,22,5
7,26,4
7,27,2
7,28,5
7,29,5
7,38,4
7,40,4
7,42,1
10,1,5
10,2,4
10,3,5
10,4,1
10,5,2
10,7,4
10,8,5
10,33,1
10,34,4
10,35,2
10,39,2
10,41,1
11,9,1
11,10,5
11,13,5
11,16,2
11,23,1
11,32,4
11,35,2
11,44,1
15,2,5
15,5,3
15,7,5
15,8,5
15,9,5
15,22,3
15,34,1
15,36,2
15,40,4
15,41,4
16,17,5
16,18,5
16,21,4
16,22,2
16,24,1
16,37,2
16,45,3
16,47,5
17,1,4
17,2,5
17,4,2
17,5,5
17,7,3
17,6,4
17,14,5
17,34,4
17,36,1
17,39,2
17,41,2
17,42,5
17,43,5
18,5,2
18,21,5
18,22,4
18,37,5
18,39,5
18,42,1
18,43,2
18,45,1
18,47,2
19,9,4
19,11,2
19,13,5
19,16,3
19,21,2
19,32,5
19,35,2
19,40,5
19,45,4
20,14,2
20,15,5
20,25,4
20,27,1
20,28,1
20,30,2
20,40,5
